AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2025,2,60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,F,12-17 AÑOS,PERÚ,4
2025,10,110501,ICA,PISCO,PISCO,M,12-17 AÑOS,PERÚ,2
2025,6,40101,AREQUIPA,AREQUIPA,AREQUIPA,F,30-59 AÑOS,PERÚ,3
2025,8,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,M,60 A MAS AÑOS,PERÚ,1
2025,2,200101,PIURA,PIURA,PIURA,M,6-11 AÑOS,PERÚ,1
2025,3,110108,ICA,ICA,SALAS,M,12-17 AÑOS,PERÚ,1
2025,6,211104,PUNO,SAN ROMAN,CARACOTO,F,6-11 AÑOS,PERÚ,1
2025,3,220913,SAN MARTÍN,SAN MARTIN,SAUCE,F,12-17 AÑOS,PERÚ,1
2025,4,80108,CUSCO,CUSCO,WANCHAQ,F,12-17 AÑOS,PERÚ,2
2025,7,110305,ICA,NAZCA,VISTA ALEGRE,M,30-59 AÑOS,PERÚ,1
2025,9,81205,CUSCO,QUISPICANCHI,CCATCA,M,12-17 AÑOS,PERÚ,1
2025,9,130402,LA LIBERTAD,CHEPEN,PACANGA,M,12-17 AÑOS,PERÚ,1
2025,4,150101,LIMA METROPOLITANA,LIMA,LIMA,M,30-59 AÑOS,PERÚ,8
2025,2,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,F,30-59 AÑOS,PERÚ,2
2025,10,100601,HUÁNUCO,LEONCIO PRADO,RUPA-RUPA,M,12-17 AÑOS,PERÚ,1
2025,5,220701,SAN MARTÍN,PICOTA,PICOTA,F,12-17 AÑOS,PERÚ,2
2025,4,150103,LIMA METROPOLITANA,LIMA,ATE,M,18-29 AÑOS,PERÚ,7
2025,3,211207,PUNO,SANDIA,SAN JUAN DEL ORO,F,18-29 AÑOS,PERÚ,1
2025,3,200101,PIURA,PIURA,PIURA,M,30-59 AÑOS,VENEZUELA,1
2025,9,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,F,18-29 AÑOS,PERÚ,4
2025,7,120421,JUNÍN,JAUJA,MUQUIYAUYO,M,60 A MAS AÑOS,PERÚ,1
2025,8,220101,SAN MARTÍN,MOYOBAMBA,MOYOBAMBA,F,12-17 AÑOS,PERÚ,1
2025,5,120107,JUNÍN,HUANCAYO,CHILCA,F,18-29 AÑOS,PERÚ,2
2025,1,150103,LIMA METROPOLITANA,LIMA,ATE,F,30-59 AÑOS,PERÚ,1
2025,4,160510,LORETO,REQUENA,JENARO HERRERA,M,18-29 AÑOS,PERÚ,1
2025,1,210201,PUNO,AZANGARO,AZANGARO,M,60 A MAS AÑOS,PERÚ,1
2025,9,190307,PASCO,OXAPAMPA,VILLA RICA,F,12-17 AÑOS,PERÚ,1
2025,5,120133,JUNÍN,HUANCAYO,SAPALLANGA,F,12-17 AÑOS,PERÚ,2
2025,5,150116,LIMA METROPOLITANA,LIMA,LINCE,M,18-29 AÑOS,PERÚ,1
2025,7,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,18-29 AÑOS,PERÚ,9
2025,6,100102,HUÁNUCO,HUANUCO,AMARILIS,M,18-29 AÑOS,PERÚ,1
2025,8,70102,CALLAO,CALLAO,BELLAVISTA,M,18-29 AÑOS,CHILE,1
2025,1,61003,CAJAMARCA,SAN MARCOS,EDUARDO VILLANUEVA,F,30-59 AÑOS,PERÚ,1
2025,2,21201,ÁNCASH,HUAYLAS,CARAZ,M,18-29 AÑOS,PERÚ,2
2025,1,150101,LIMA METROPOLITANA,LIMA,LIMA,F,18-29 AÑOS,PERÚ,8
2025,6,40101,AREQUIPA,AREQUIPA,AREQUIPA,F,60 A MAS AÑOS,PERÚ,1
2025,7,80101,CUSCO,CUSCO,CUSCO,F,30-59 AÑOS,PERÚ,1
2025,3,200115,PIURA,PIURA,26 DE OCTUBRE,M,12-17 AÑOS,PERÚ,1
2025,10,150115,LIMA METROPOLITANA,LIMA,LA VICTORIA,M,30-59 AÑOS,PERÚ,1
2025,5,50401,AYACUCHO,HUANTA,HUANTA,F,12-17 AÑOS,PERÚ,1
2025,4,10702,AMAZONAS,UTCUBAMBA,CAJARURO,F,12-17 AÑOS,PERÚ,1
2025,9,110112,ICA,ICA,SUBTANJALLA,F,18-29 AÑOS,PERÚ,1
2025,3,150119,LIMA METROPOLITANA,LIMA,LURIN,M,30-59 AÑOS,PERÚ,1
2025,8,80105,CUSCO,CUSCO,SAN SEBASTIAN,F,18-29 AÑOS,PERÚ,3
2025,9,150118,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,F,6-11 AÑOS,VENEZUELA,1
2025,6,150130,LIMA METROPOLITANA,LIMA,SAN BORJA,,18-29 AÑOS,PERÚ,1
2025,2,150811,REGIÓN LIMA,HUAURA,SAYAN,F,12-17 AÑOS,PERÚ,1
2025,5,40109,AREQUIPA,AREQUIPA,MARIANO MELGAR,M,30-59 AÑOS,PERÚ,1
2025,1,21801,ÁNCASH,SANTA,CHIMBOTE,F,12-17 AÑOS,VENEZUELA,1
2025,2,210402,PUNO,CHUCUITO,DESAGUADERO,F,18-29 AÑOS,PERÚ,1
2025,4,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,18-29 AÑOS,PERÚ,1
2025,4,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,F,6-11 AÑOS,PERÚ,1
2025,7,120101,JUNÍN,HUANCAYO,HUANCAYO,M,12-17 AÑOS,PERÚ,1
2025,4,80901,CUSCO,LA CONVENCION,SANTA ANA,M,12-17 AÑOS,PERÚ,1
2025,7,130207,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,F,12-17 AÑOS,PERÚ,1
2025,1,80501,CUSCO,CANAS,YANAOCA,F,18-29 AÑOS,PERÚ,1
2025,3,40107,AREQUIPA,AREQUIPA,JACOBO HUNTER,F,18-29 AÑOS,PERÚ,1
2025,7,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,M,12-17 AÑOS,PERÚ,2
2025,9,120801,JUNÍN,YAULI,LA OROYA,M,30-59 AÑOS,PERÚ,1
2025,8,150118,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,F,30-59 AÑOS,PERÚ,1
2025,6,150119,LIMA METROPOLITANA,LIMA,LURIN,F,18-29 AÑOS,PERÚ,1
2025,10,120129,JUNÍN,HUANCAYO,SAN AGUSTIN,F,12-17 AÑOS,PERÚ,1
2025,5,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,F,12-17 AÑOS,PERÚ,6
2025,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,30-59 AÑOS,PERÚ,3
2025,8,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,60 A MAS AÑOS,PERÚ,4
2025,10,80403,CUSCO,CALCA,LAMAY,M,12-17 AÑOS,PERÚ,1
2025,2,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,M,30-59 AÑOS,CUBA,1
2025,9,130103,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,F,12-17 AÑOS,PERÚ,1
2025,5,140114,LAMBAYEQUE,CHICLAYO,SANTA ROSA,F,12-17 AÑOS,PERÚ,1
2025,2,80101,CUSCO,CUSCO,CUSCO,M,18-29 AÑOS,PERÚ,1
2025,3,150502,REGIÓN LIMA,CAÑETE,ASIA,F,18-29 AÑOS,PERÚ,1
2025,6,150128,LIMA METROPOLITANA,LIMA,RIMAC,F,12-17 AÑOS,PERÚ,2
2025,6,40107,AREQUIPA,AREQUIPA,JACOBO HUNTER,M,30-59 AÑOS,PERÚ,1
2025,9,230101,TACNA,TACNA,TACNA,M,60 A MAS AÑOS,PERÚ,2
2025,1,150144,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,M,6-11 AÑOS,PERÚ,1
2025,7,80105,CUSCO,CUSCO,SAN SEBASTIAN,M,60 A MAS AÑOS,PERÚ,1
2025,7,40112,AREQUIPA,AREQUIPA,PAUCARPATA,F,12-17 AÑOS,PERÚ,3
2025,3,120133,JUNÍN,HUANCAYO,SAPALLANGA,M,60 A MAS AÑOS,PERÚ,1
2025,2,120606,JUNÍN,SATIPO,PANGOA,M,18-29 AÑOS,PERÚ,1
2025,8,70101,CALLAO,CALLAO,CALLAO,F,60 A MAS AÑOS,PERÚ,1
2025,6,220901,SAN MARTÍN,SAN MARTIN,TARAPOTO,M,18-29 AÑOS,PERÚ,2
2025,1,30213,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,M,60 A MAS AÑOS,PERÚ,1
2025,7,70101,CALLAO,CALLAO,CALLAO,M,18-29 AÑOS,PERÚ,3
2025,2,140120,LAMBAYEQUE,CHICLAYO,TUMAN,F,0-5 AÑOS,PERÚ,1
2025,8,160109,LORETO,MAYNAS,PUTUMAYO,M,60 A MAS AÑOS,PERÚ,1
2025,6,120701,JUNÍN,TARMA,TARMA,F,30-59 AÑOS,PERÚ,1
2025,1,80506,CUSCO,CANAS,PAMPAMARCA,F,12-17 AÑOS,PERÚ,1
2025,8,80104,CUSCO,CUSCO,SAN JERONIMO,M,12-17 AÑOS,PERÚ,1
2025,2,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,M,12-17 AÑOS,PERÚ,2
2025,7,170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,F,12-17 AÑOS,PERÚ,4
2025,6,130705,LA LIBERTAD,PACASMAYO,SAN JOSE,F,12-17 AÑOS,PERÚ,1
2025,7,230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,M,12-17 AÑOS,PERÚ,1
2025,5,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,M,60 A MAS AÑOS,PERÚ,3
2025,5,120608,JUNÍN,SATIPO,RIO TAMBO,M,6-11 AÑOS,PERÚ,1
2025,9,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,12-17 AÑOS,PERÚ,16
2025,7,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,F,12-17 AÑOS,PERÚ,17
2025,3,150204,REGIÓN LIMA,BARRANCA,SUPE,M,30-59 AÑOS,PERÚ,1
2025,3,250201,UCAYALI,ATALAYA,RAYMONDI,M,6-11 AÑOS,PERÚ,2
2025,7,240301,TUMBES,ZARUMILLA,ZARUMILLA,M,18-29 AÑOS,PERÚ,1
2025,8,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,F,12-17 AÑOS,PERÚ,1
2025,9,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,M,6-11 AÑOS,PERÚ,1
2025,4,180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,M,30-59 AÑOS,PERÚ,2
2025,4,250107,UCAYALI,CORONEL PORTILLO,MANANTAY,M,12-17 AÑOS,PERÚ,2
2025,5,80106,CUSCO,CUSCO,SANTIAGO,F,12-17 AÑOS,PERÚ,4
2025,5,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,M,18-29 AÑOS,PERÚ,1
2025,5,81005,CUSCO,PARURO,HUANOQUITE,F,30-59 AÑOS,PERÚ,1
2025,1,150110,LIMA METROPOLITANA,LIMA,COMAS,F,12-17 AÑOS,VENEZUELA,1
2025,2,120902,JUNÍN,CHUPACA,AHUAC,M,30-59 AÑOS,PERÚ,1
2025,6,150102,LIMA METROPOLITANA,LIMA,ANCON,M,18-29 AÑOS,VENEZUELA,1
2025,4,61001,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,M,12-17 AÑOS,PERÚ,1
2025,1,40128,AREQUIPA,AREQUIPA,YURA,M,12-17 AÑOS,PERÚ,1
2025,10,60105,CAJAMARCA,CAJAMARCA,ENCAÑADA,M,18-29 AÑOS,PERÚ,1
2025,9,120101,JUNÍN,HUANCAYO,HUANCAYO,M,18-29 AÑOS,PERÚ,1
2025,6,80105,CUSCO,CUSCO,SAN SEBASTIAN,F,12-17 AÑOS,PERÚ,2
2025,5,150103,LIMA METROPOLITANA,LIMA,ATE,M,6-11 AÑOS,PERÚ,1
2025,10,120107,JUNÍN,HUANCAYO,CHILCA,M,18-29 AÑOS,PERÚ,1
2025,9,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,M,18-29 AÑOS,PERÚ,4
2025,4,30602,APURIMAC,CHINCHEROS,ANCO_HUALLO,M,30-59 AÑOS,PERÚ,1
2025,1,60201,CAJAMARCA,CAJABAMBA,CAJABAMBA,F,12-17 AÑOS,PERÚ,2
2025,2,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,F,18-29 AÑOS,VENEZUELA,1
2025,7,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,60 A MAS AÑOS,PERÚ,1
2025,1,30306,APURIMAC,ANTABAMBA,PACHACONAS,M,18-29 AÑOS,PERÚ,2
2025,1,40103,AREQUIPA,AREQUIPA,CAYMA,F,12-17 AÑOS,PERÚ,4
2025,3,200101,PIURA,PIURA,PIURA,M,18-29 AÑOS,PERÚ,2
2025,2,140118,LAMBAYEQUE,CHICLAYO,POMALCA,F,30-59 AÑOS,PERÚ,1
2025,6,150801,REGIÓN LIMA,HUAURA,HUACHO,M,30-59 AÑOS,PERÚ,1
2025,2,180104,MOQUEGUA,MARISCAL NIETO,SAMEGUA,M,60 A MAS AÑOS,PERÚ,1
2025,1,150110,LIMA METROPOLITANA,LIMA,COMAS,M,30-59 AÑOS,PERÚ,5
2025,8,80905,CUSCO,LA CONVENCION,OCOBAMBA,F,60 A MAS AÑOS,PERÚ,1
2025,1,230104,TACNA,TACNA,CIUDAD NUEVA,F,30-59 AÑOS,PERÚ,1
2025,2,150501,REGIÓN LIMA,CAÑETE,SAN VICENTE DE CAÑETE,F,30-59 AÑOS,PERÚ,1
2025,6,160108,LORETO,MAYNAS,PUNCHANA,M,12-17 AÑOS,PERÚ,2
2025,8,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,F,12-17 AÑOS,PERÚ,1
2025,5,140308,LAMBAYEQUE,LAMBAYEQUE,OLMOS,F,18-29 AÑOS,PERÚ,1
2025,6,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,M,6-11 AÑOS,PERÚ,1
2025,8,150505,REGIÓN LIMA,CAÑETE,CHILCA,M,18-29 AÑOS,PERÚ,1
2025,8,30101,APURIMAC,ABANCAY,ABANCAY,M,18-29 AÑOS,PERÚ,1
2025,3,150204,REGIÓN LIMA,BARRANCA,SUPE,F,12-17 AÑOS,VENEZUELA,1
2025,1,30201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,M,12-17 AÑOS,PERÚ,1
2025,6,211101,PUNO,SAN ROMAN,JULIACA,M,12-17 AÑOS,PERÚ,1
2025,6,70106,CALLAO,CALLAO,VENTANILLA,M,12-17 AÑOS,PERÚ,2
2025,8,30401,APURIMAC,AYMARAES,CHALHUANCA,F,30-59 AÑOS,PERÚ,1
2025,10,150110,LIMA METROPOLITANA,LIMA,COMAS,M,6-11 AÑOS,PERÚ,3
2025,4,120608,JUNÍN,SATIPO,RIO TAMBO,F,12-17 AÑOS,PERÚ,1
2025,7,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,F,30-59 AÑOS,PERÚ,2
2025,6,240101,TUMBES,TUMBES,TUMBES,F,18-29 AÑOS,PERÚ,1
2025,9,170102,MADRE DE DIOS,TAMBOPATA,INAMBARI,M,18-29 AÑOS,PERÚ,3
2025,8,150134,LIMA METROPOLITANA,LIMA,SAN LUIS,F,18-29 AÑOS,PERÚ,1
2025,10,90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,M,12-17 AÑOS,PERÚ,1
2025,4,80106,CUSCO,CUSCO,SANTIAGO,M,6-11 AÑOS,PERÚ,1
2025,2,230101,TACNA,TACNA,TACNA,M,18-29 AÑOS,PERÚ,1
2025,1,100111,HUÁNUCO,HUANUCO,PILLCO MARCA,F,18-29 AÑOS,PERÚ,1
2025,1,40520,AREQUIPA,CAYLLOMA,MAJES,M,60 A MAS AÑOS,PERÚ,1
2025,7,150105,LIMA METROPOLITANA,LIMA,BREÑA,F,12-17 AÑOS,PERÚ,1
2025,7,150136,LIMA METROPOLITANA,LIMA,SAN MIGUEL,F,12-17 AÑOS,PERÚ,1
2025,7,20105,ÁNCASH,HUARAZ,INDEPENDENCIA,F,12-17 AÑOS,PERÚ,3
2025,10,20601,ÁNCASH,CARHUAZ,CARHUAZ,F,12-17 AÑOS,PERÚ,1
2025,6,21809,ÁNCASH,SANTA,NUEVO CHIMBOTE,M,30-59 AÑOS,PERÚ,1
2025,5,130701,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,M,18-29 AÑOS,PERÚ,1
2025,3,200101,PIURA,PIURA,PIURA,F,6-11 AÑOS,PERÚ,1
2025,3,120201,JUNÍN,CONCEPCION,CONCEPCION,F,60 A MAS AÑOS,PERÚ,1
2025,9,170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,F,18-29 AÑOS,PERÚ,1
2025,2,150113,LIMA METROPOLITANA,LIMA,JESUS MARIA,F,30-59 AÑOS,PERÚ,1
2025,5,90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,F,12-17 AÑOS,PERÚ,5
2025,4,80603,CUSCO,CANCHIS,COMBAPATA,F,12-17 AÑOS,PERÚ,1
2025,4,100101,HUÁNUCO,HUANUCO,HUANUCO,F,18-29 AÑOS,PERÚ,1
2025,3,80107,CUSCO,CUSCO,SAYLLA,M,12-17 AÑOS,PERÚ,2
2025,6,160108,LORETO,MAYNAS,PUNCHANA,M,60 A MAS AÑOS,PERÚ,1
2025,2,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,F,30-59 AÑOS,PERÚ,1
2025,2,230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,M,30-59 AÑOS,PERÚ,1
2025,9,70101,CALLAO,CALLAO,CALLAO,M,12-17 AÑOS,PERÚ,3
2025,2,150801,REGIÓN LIMA,HUAURA,HUACHO,F,6-11 AÑOS,PERÚ,1
2025,9,40112,AREQUIPA,AREQUIPA,PAUCARPATA,F,18-29 AÑOS,PERÚ,1
2025,3,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,M,6-11 AÑOS,PERÚ,1
2025,5,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,F,12-17 AÑOS,PERÚ,3
2025,10,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,M,60 A MAS AÑOS,PERÚ,5
2025,8,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,M,18-29 AÑOS,PERÚ,1
2025,4,100103,HUÁNUCO,HUANUCO,CHINCHAO,M,12-17 AÑOS,PERÚ,1
2025,7,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,M,60 A MAS AÑOS,PERÚ,3
2025,9,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,F,30-59 AÑOS,PERÚ,2
2025,7,110201,ICA,CHINCHA,CHINCHA ALTA,M,12-17 AÑOS,PERÚ,1
2025,7,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,M,18-29 AÑOS,PERÚ,3
2025,3,80104,CUSCO,CUSCO,SAN JERONIMO,F,30-59 AÑOS,PERÚ,1
2025,8,200602,PIURA,SULLANA,BELLAVISTA,M,12-17 AÑOS,PERÚ,2
2025,2,100604,HUÁNUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,F,30-59 AÑOS,PERÚ,1
2025,9,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,18-29 AÑOS,PERÚ,1
2025,3,21202,ÁNCASH,HUAYLAS,HUALLANCA,M,30-59 AÑOS,PERÚ,1
2025,1,100101,HUÁNUCO,HUANUCO,HUANUCO,M,30-59 AÑOS,PERÚ,2
2025,3,200110,PIURA,PIURA,LA UNION,F,12-17 AÑOS,VENEZUELA,1
2025,5,250107,UCAYALI,CORONEL PORTILLO,MANANTAY,M,60 A MAS AÑOS,PERÚ,1
2025,10,140309,LAMBAYEQUE,LAMBAYEQUE,PACORA,F,12-17 AÑOS,PERÚ,1
2025,10,220710,SAN MARTÍN,PICOTA,TRES UNIDOS,M,30-59 AÑOS,PERÚ,1
2025,5,80106,CUSCO,CUSCO,SANTIAGO,M,18-29 AÑOS,PERÚ,1
2025,4,21801,ÁNCASH,SANTA,CHIMBOTE,M,12-17 AÑOS,PERÚ,1
2025,4,90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,M,12-17 AÑOS,PERÚ,1
2025,2,240101,TUMBES,TUMBES,TUMBES,F,18-29 AÑOS,VENEZUELA,1
2025,4,150110,LIMA METROPOLITANA,LIMA,COMAS,M,6-11 AÑOS,PERÚ,2
2025,7,80104,CUSCO,CUSCO,SAN JERONIMO,F,18-29 AÑOS,PERÚ,1
2025,5,190308,PASCO,OXAPAMPA,CONSTITUCION,F,12-17 AÑOS,PERÚ,4
2025,10,80106,CUSCO,CUSCO,SANTIAGO,M,6-11 AÑOS,PERÚ,1
2025,6,21702,ÁNCASH,RECUAY,CATAC,M,30-59 AÑOS,PERÚ,1
2025,3,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,M,30-59 AÑOS,PERÚ,3
2025,5,100101,HUÁNUCO,HUANUCO,HUANUCO,M,18-29 AÑOS,PERÚ,1
2025,8,211201,PUNO,SANDIA,SANDIA,F,12-17 AÑOS,PERÚ,1
2025,1,80106,CUSCO,CUSCO,SANTIAGO,M,30-59 AÑOS,PERÚ,1
2025,8,22001,ÁNCASH,YUNGAY,YUNGAY,F,30-59 AÑOS,PERÚ,1
2025,4,150201,REGIÓN LIMA,BARRANCA,BARRANCA,F,18-29 AÑOS,PERÚ,4
2025,8,70101,CALLAO,CALLAO,CALLAO,F,12-17 AÑOS,PERÚ,14
2025,7,40520,AREQUIPA,CAYLLOMA,MAJES,F,0-5 AÑOS,PERÚ,1
2025,8,40112,AREQUIPA,AREQUIPA,PAUCARPATA,M,18-29 AÑOS,PERÚ,1
2025,2,130104,LA LIBERTAD,TRUJILLO,HUANCHACO,F,0-5 AÑOS,PERÚ,1
2025,9,150507,REGIÓN LIMA,CAÑETE,IMPERIAL,F,12-17 AÑOS,VENEZUELA,1
2025,8,150120,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,M,30-59 AÑOS,PERÚ,2
2025,6,120902,JUNÍN,CHUPACA,AHUAC,F,12-17 AÑOS,PERÚ,1
2025,6,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,M,18-29 AÑOS,VENEZUELA,1
2025,5,90607,HUANCAVELICA,HUAYTARA,PILPICHACA,F,18-29 AÑOS,PERÚ,1
2025,10,30109,APURIMAC,ABANCAY,TAMBURCO,M,60 A MAS AÑOS,PERÚ,1
2025,8,40129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,M,12-17 AÑOS,VENEZUELA,1
2025,8,30101,APURIMAC,ABANCAY,ABANCAY,F,6-11 AÑOS,PERÚ,1
2025,5,100103,HUÁNUCO,HUANUCO,CHINCHAO,F,12-17 AÑOS,PERÚ,1
2025,4,80106,CUSCO,CUSCO,SANTIAGO,F,18-29 AÑOS,PERÚ,2
2025,10,210101,PUNO,PUNO,PUNO,M,30-59 AÑOS,PERÚ,2
2025,10,150110,LIMA METROPOLITANA,LIMA,COMAS,F,18-29 AÑOS,PERÚ,2
2025,1,150201,REGIÓN LIMA,BARRANCA,BARRANCA,M,30-59 AÑOS,PERÚ,1
2025,9,90707,HUANCAVELICA,TAYACAJA,HUACHOCOLPA,F,12-17 AÑOS,PERÚ,1
2025,4,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,M,12-17 AÑOS,PERÚ,4
2025,3,100201,HUÁNUCO,AMBO,AMBO,F,6-11 AÑOS,PERÚ,1
2025,8,131203,LA LIBERTAD,VIRU,GUADALUPITO,F,12-17 AÑOS,PERÚ,1
2025,6,110201,ICA,CHINCHA,CHINCHA ALTA,F,12-17 AÑOS,PERÚ,2
2025,6,80704,CUSCO,CHUMBIVILCAS,COLQUEMARCA,M,30-59 AÑOS,PERÚ,1
2025,9,200602,PIURA,SULLANA,BELLAVISTA,F,12-17 AÑOS,PERÚ,1
2025,1,60801,CAJAMARCA,JAEN,JAEN,M,18-29 AÑOS,PERÚ,1
2025,8,130704,LA LIBERTAD,PACASMAYO,PACASMAYO,M,30-59 AÑOS,PERÚ,1
2025,8,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,M,30-59 AÑOS,PERÚ,1
